pc,explained_variance
PC333,7.390685840931128e-5
PC334,7.267074428687204e-5
PC335,7.204625241055351e-5
PC336,7.11321894159224e-5
PC337,6.994478627773208e-5
PC338,6.925226856373628e-5
PC339,6.83243717891896e-5
PC340,6.787832492689904e-5
PC341,6.65165086013416e-5
PC342,6.550510107490293e-5
PC343,6.513461532869982e-5
PC344,6.449248752165977e-5
PC345,6.39069590543655e-5
PC346,6.276767479479909e-5
PC347,6.254131253221248e-5
PC348,6.136930786685407e-5
PC349,5.976544526543901e-5
PC350,5.9710423142477995e-5
PC351,5.900317883231327e-5
PC352,5.8015205452919406e-5
PC353,5.743823513509769e-5
PC354,5.6819679995911487e-5
PC355,5.542327073136674e-5
PC356,5.52552286451569e-5
PC357,5.403893745566177e-5
PC358,5.381300965662404e-5
PC359,5.3231319108686584e-5
PC360,5.286097593976599e-5
PC361,5.154822481623697e-5
PC362,5.0538267229310216e-5
PC363,5.032339421889284e-5
PC364,4.959251013667385e-5
PC365,4.858569051584913e-5
PC366,4.808120357209177e-5
PC367,4.762829629134631e-5
PC368,4.714377041979187e-5
PC369,4.663623338208938e-5
PC370,4.572513704261966e-5
PC371,4.422727430904298e-5
PC372,4.3521452446963466e-5
PC373,4.2845655054593746e-5
PC374,4.25848304280404e-5
PC375,4.2177169230883274e-5
PC376,4.166835774116091e-5
PC377,4.157239886871819e-5
PC378,4.0620166166989105e-5
PC379,4.029665297278856e-5
PC380,3.983464099606445e-5
PC381,3.902917896614326e-5
PC382,3.8738256922399934e-5
PC383,3.754376049722237e-5
PC384,3.697565654002963e-5
PC385,3.652410524943974e-5
PC386,3.59680272792692e-5
PC387,3.5714077623558694e-5
PC388,3.551677809695515e-5
PC389,3.516429305072451e-5
PC390,3.462058723968505e-5
PC391,3.367550937944052e-5
PC392,3.339148412512646e-5
PC393,3.328528960892491e-5
PC394,3.259559386295069e-5
PC395,3.198449005808811e-5
PC396,3.197057410754134e-5
PC397,3.131861265235497e-5
PC398,3.1226085592359727e-5
PC399,3.0395345734487503e-5
PC400,3.0053684026464026e-5
PC401,2.980650876771092e-5
PC402,2.9082180486593072e-5
PC403,2.8880025556031803e-5
PC404,2.806885953795807e-5
PC405,2.7994061532329108e-5
PC406,2.7613247829281665e-5
PC407,2.719703511808947e-5
PC408,2.6386726813366525e-5
PC409,2.6145029515662996e-5
PC410,2.581449709605512e-5
PC411,2.5097682301001007e-5
PC412,2.4723051739739897e-5
PC413,2.4359835938323254e-5
PC414,2.388576294835618e-5
PC415,2.3866469231565968e-5
PC416,2.3589740524724586e-5
PC417,2.3182035627841056e-5
PC418,2.27336847955021e-5
PC419,2.233066917495539e-5
PC420,2.2236057242715795e-5
PC421,2.1762168604963357e-5
PC422,2.148512735582538e-5
PC423,2.0941593558923923e-5
PC424,2.0711684189703372e-5
PC425,2.0380216407797723e-5
PC426,2.0203409099235163e-5
PC427,1.95869683158292e-5
PC428,1.920068213784177e-5
PC429,1.9098477218834693e-5
PC430,1.8803122940576342e-5
PC431,1.8501284859582738e-5
PC432,1.830101151772737e-5
PC433,1.786612721078928e-5
PC434,1.7804392679817856e-5
PC435,1.7544526883879035e-5
PC436,1.717189533321975e-5
PC437,1.7072730115085098e-5
PC438,1.656756184783077e-5
PC439,1.6199601511844005e-5
PC440,1.591664534761093e-5
PC441,1.581234580103041e-5
PC442,1.560956992349242e-5
PC443,1.5362586100012103e-5
PC444,1.4788287151749464e-5
PC445,1.4759254730732703e-5
PC446,1.4489260389760958e-5
PC447,1.4287378993961418e-5
PC448,1.3805732488210717e-5
PC449,1.355383956591196e-5
PC450,1.2928125983297198e-5
PC451,1.2756302287061137e-5
PC452,1.2636610284133849e-5
PC453,1.249144415114323e-5
PC454,1.2167929418297767e-5
PC455,1.2058737759940293e-5
PC456,1.1634063561787665e-5
PC457,1.152608537281924e-5
PC458,1.1200049347244523e-5
PC459,1.1114039073146283e-5
PC460,1.088642053882312e-5
PC461,1.0764740379699413e-5
PC462,1.0358306238808229e-5
PC463,1.0092115729553239e-5
PC464,1.0003039984858654e-5
PC465,9.700656233411834e-6
PC466,9.558098759758905e-6
PC467,9.392774288287824e-6
PC468,9.141578716820741e-6
PC469,8.82666101511403e-6
PC470,8.683215326306906e-6
PC471,8.553353643008279e-6
PC472,8.45511917443593e-6
PC473,8.218969896431977e-6
PC474,8.141117336223334e-6
PC475,7.966880561244241e-6
PC476,7.759064252054758e-6
PC477,7.419589966647036e-6
PC478,7.361947728056906e-6
PC479,7.248605143245545e-6
PC480,6.851911391485521e-6
PC481,6.715436529899675e-6
PC482,6.503327152374531e-6
PC483,6.378478844640529e-6
PC484,6.160027478017467e-6
PC485,6.083151096612225e-6
PC486,5.888903433337777e-6
PC487,5.714107029956791e-6
PC488,5.4700149364522945e-6
PC489,5.397820946037653e-6
PC490,5.1890604418395e-6
PC491,5.089907467808268e-6
PC492,4.760205113914944e-6
PC493,4.6665287771445705e-6
PC494,4.511504813307125e-6
PC495,4.372934750491335e-6
PC496,4.143088366976242e-6
PC497,4.033790513682935e-6
PC498,3.6651621274637353e-6
PC499,3.325117333755013e-6
PC500,1.3398186471763352e-32
